       xel     dE/eV     N0*eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV   wmin/eV      Tc/K
  0.600000 -0.018337  1.143948  0.144390  0.103105  1.894276  0.009067  0.011085 -0.000000 15.643932
  0.610000 -0.019123  1.148340  0.146834  0.104492  1.857631  0.009098  0.011136  0.000000 15.396557
  0.620000 -0.019912  1.152834  0.149307  0.105856  1.825926  0.009118  0.011177 -0.000000 15.166206
  0.630000 -0.020704  1.157433  0.151811  0.107198  1.798803  0.009128  0.011207  0.000000 14.954194
  0.640000 -0.021498  1.162104  0.154340  0.108521  1.775457  0.009129  0.011229  0.000000 14.758904
  0.650000 -0.022293  1.166839  0.156894  0.109823  1.755688  0.009124  0.011243  0.000000 14.581036
  0.660000 -0.023090  1.171618  0.159472  0.111105  1.739185  0.009111  0.011250 -0.000000 14.420183
  0.670000 -0.023888  1.176413  0.162072  0.112369  1.725621  0.009093  0.011249 -0.000000 14.275387
  0.680000 -0.024686  1.181196  0.164693  0.113616  1.714829  0.009069  0.011241 -0.000000 14.146131
  0.690000 -0.025484  1.185943  0.167333  0.114844  1.706753  0.009040  0.011227  0.000000 14.032150
  0.700000 -0.026282  1.190618  0.169992  0.116057  1.701192  0.009005  0.011207 -0.000000 13.932077
