nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV   wmin/eV      Tc/K
269  0.276749 -0.000148  0.099451  0.029353  6.966122  0.002725  0.006534 -0.001790 17.358758
270  0.277778 -0.000160  0.099457  0.029914 40.520565  0.000262  0.002714 -0.001784 17.125515
271  0.278807 -0.000174  0.099434  0.030506 14.155185  0.000941  0.004593 -0.001757 14.710807
272  0.279835 -0.000188  0.099437  0.031041 38.620941  0.000351  0.002785 -0.001742 19.895465
273  0.280864 -0.000286  0.096965  0.042213  3.489971  0.006585  0.009167  0.000000 19.866328
274  0.281893 -0.000216  0.099427  0.032118 26.384404  0.000479  0.003371 -0.001703 17.022686
275  0.282922 -0.000232  0.099430  0.032637 18.095962  0.000789  0.004072 -0.001687 16.743006
276  0.283951 -0.000247  0.099428  0.033144 33.548753  0.000353  0.002993 -0.001666 17.491641
277  0.284979 -0.000263  0.099440  0.033639 32.747911  0.000431  0.003033 -0.001652 19.556906
278  0.286008 -0.000280  0.099436  0.034134 20.270882  0.000758  0.003855 -0.001628 18.255614
279  0.287037 -0.000297  0.099445  0.034619 17.219122  0.000930  0.004184 -0.001613 18.040839
280  0.288066 -0.000314  0.099452  0.035094 15.032332  0.001106  0.004479 -0.001592 17.935024
281  0.289095 -0.000332  0.099462  0.035560 13.568885  0.001264  0.004716 -0.001573 17.937264
282  0.290123 -0.000351  0.099473  0.036019 12.405766  0.001424  0.004933 -0.001551 17.980705
283  0.291152 -0.000370  0.099481  0.036474 11.389170  0.001598  0.005149 -0.001530 18.076062
284  0.292181 -0.000389  0.099491  0.036927 10.606206  0.001764  0.005337 -0.001507 18.202927
285  0.293210 -0.000409  0.099504  0.037373 10.004137  0.001915  0.005497 -0.001486 18.340255
286  0.294239 -0.000429  0.099512  0.037811  9.414822  0.002087  0.005667 -0.001452 18.504234
287  0.295267 -0.000450  0.099522  0.038250  8.904409  0.002262  0.005829 -0.001428 18.682521
288  0.296296 -0.000471  0.099542  0.038668  8.608106  0.002379  0.005930 -0.001399 18.824279
289  0.297325 -0.000492  0.099540  0.039111  8.121226  0.002588  0.006106 -0.001359 19.033633
290  0.298354 -0.000514  0.099564  0.039518  7.903867  0.002699  0.006191 -0.001338 19.176255
291  0.299383 -0.000537  0.099574  0.039943  7.616309  0.002853  0.006308 -0.001297 19.346370
292  0.300412 -0.000559  0.099589  0.040351  7.375803  0.002995  0.006411 -0.001264 19.508105
293  0.301440 -0.000583  0.099605  0.040753  7.171266  0.003127  0.006503 -0.001236 19.660593
294  0.302469 -0.000606  0.099633  0.041143  7.036816  0.003226  0.006567 -0.001186 19.790669
295  0.303498 -0.000630  0.099641  0.041551  6.828909  0.003374  0.006667 -0.001153 19.947457
296  0.304527 -0.000655  0.099672  0.041938  6.716560  0.003469  0.006724 -0.001129 20.070587
297  0.305556 -0.000680  0.099683  0.042332  6.553491  0.003601  0.006808 -0.001076 20.210820
298  0.306584 -0.000705  0.099717  0.042706  6.465277  0.003686  0.006856 -0.001029 20.323574
299  0.307613 -0.000731  0.099732  0.043096  6.338565  0.003801  0.006925 -0.000973 20.447691
300  0.308642 -0.000757  0.099763  0.043463  6.253607  0.003889  0.006974 -0.000914 20.556606
301  0.309671 -0.000784  0.099775  0.043849  6.134380  0.004004  0.007042 -0.000851 20.672961
302  0.310700 -0.000811  0.099801  0.044216  6.052135  0.004094  0.007091 -0.000776 20.775565
303  0.311728 -0.000839  0.099828  0.044584  5.973946  0.004182  0.007138 -0.000756 20.873998
304  0.312757 -0.000866  0.099854  0.044947  5.902509  0.004266  0.007182 -0.000652 20.968311
305  0.313786 -0.000895  0.099882  0.045306  5.838327  0.004344  0.007223 -0.000549 21.057565
306  0.314815 -0.000923  0.099911  0.045666  5.777030  0.004421  0.007262 -0.000418 21.143169
307  0.315844 -0.000953  0.099941  0.046019 20.581407  0.000432  0.003851 -0.000293 11.014611
308  0.316872 -0.000982  0.099982  0.046362 20.675673  0.000598  0.003847 -0.000000 15.468845
309  0.317901 -0.001012  0.100002  0.046722 13.564954  0.001121  0.004752  0.000000 16.356063
310  0.318930 -0.001042  0.100035  0.047069 10.305328  0.001731  0.005452 -0.000000 17.518962
311  0.319959 -0.001073  0.100070  0.047404  8.884207  0.002219  0.005872  0.000000 18.431223
312  0.320988 -0.001104  0.100102  0.047749  8.070212  0.002612  0.006162 -0.000000 19.095055
313  0.322016 -0.001136  0.100139  0.048091  7.537246  0.002938  0.006376 -0.000000 19.611364
314  0.323045 -0.001168  0.100173  0.048427  7.143263  0.003223  0.006550  0.000000 20.025361
315  0.324074 -0.001200  0.100210  0.048759  6.858662  0.003455  0.006684  0.000000 20.342842
316  0.325103 -0.001233  0.100248  0.049089  6.631332  0.003660  0.006798  0.000000 20.611152
317  0.326132 -0.001266  0.100292  0.049415  6.455280  0.003834  0.006890 -0.000000 20.832280
318  0.327160 -0.001299  0.100324  0.049744  6.291000  0.004002  0.006979 -0.000000 21.027183
319  0.328189 -0.001333  0.100365  0.050067  6.165180  0.004141  0.007050 -0.000000 21.185367
320  0.329218 -0.001367  0.100407  0.050391  6.058343  0.004264  0.007112 -0.000000 21.324302
321  0.330247 -0.001402  0.100449  0.050716  5.964106  0.004377  0.007167 -0.000000 21.446599
322  0.331276 -0.001437  0.100491  0.051029  5.881825  0.004480  0.007217 -0.000000 21.555514
323  0.332305 -0.001472  0.100528  0.051351  5.805245  0.004575  0.007264 -0.000000 21.649337
324  0.333333 -0.001508  0.100579  0.051666  5.748433  0.004653  0.007300  0.000000 21.733096
325  0.334362 -0.001544  0.100623  0.051974  5.691494  0.004730  0.007336 -0.000000 21.810372
326  0.335391 -0.001580  0.100670  0.052284  5.642973  0.004797  0.007367  0.000000 21.877696
327  0.336420 -0.001617  0.100717  0.052595  5.599204  0.004859  0.007395 -0.000000 21.938837
328  0.337449 -0.001655  0.100766  0.052900  5.560488  0.004916  0.007420 -0.000000 21.994423
329  0.338477 -0.001692  0.100816  0.053205  5.526408  0.004967  0.007442 -0.000000 22.044129
330  0.339506 -0.001730  0.100865  0.053503  5.494548  0.005015  0.007463 -0.000000 22.089587
331  0.340535 -0.001768  0.100917  0.053807  5.467588  0.005057  0.007480  0.000000 22.130039
332  0.341564 -0.001807  0.100963  0.054113  5.438898  0.005098  0.007499 -0.000000 22.165848
333  0.342593 -0.001846  0.101021  0.054406  5.420097  0.005131  0.007511  0.000000 22.200346
334  0.343621 -0.001885  0.101077  0.054705  5.401670  0.005162  0.007523 -0.000000 22.230770
335  0.344650 -0.001925  0.101132  0.054994  5.384627  0.005190  0.007534  0.000000 22.257982
336  0.345679 -0.001965  0.101187  0.055289  5.368998  0.005216  0.007544 -0.000000 22.282022
337  0.346708 -0.002006  0.101245  0.055580  5.356174  0.005239  0.007552 -0.000000 22.304018
338  0.347737 -0.002047  0.101304  0.055871  5.344912  0.005259  0.007558 -0.000000 22.323391
339  0.348765 -0.002088  0.101363  0.056159  5.334932  0.005277  0.007564 -0.000000 22.340309
340  0.349794 -0.002129  0.101423  0.056444  5.326865  0.005292  0.007568 -0.000000 22.354846
341  0.350823 -0.002171  0.101484  0.056727  5.319753  0.005305  0.007572 -0.000000 22.367960
342  0.351852 -0.002213  0.101547  0.057009  5.314344  0.005317  0.007574 -0.000000 22.379023
348  0.358025 -0.002473  0.101941  0.058684  5.302409  0.005348  0.007573  0.000000 22.408810
354  0.364198 -0.002745  0.102376  0.060307  5.318801  0.005331  0.007549  0.000000 22.388047
360  0.370370 -0.003029  0.102847  0.061883  5.348821  0.005282  0.007513 -0.000000 22.324718
366  0.376543 -0.003324  0.103359  0.063421  5.382180  0.005217  0.007474  0.000000 22.225832
372  0.382716 -0.003629  0.103911  0.064919  5.406401  0.005148  0.007440 -0.000000 22.096708
378  0.388889 -0.003945  0.104503  0.066381  5.408439  0.005090  0.007419 -0.000000 21.943068
384  0.395062 -0.004270  0.105136  0.067805  5.375547  0.005058  0.007421  0.000000 21.771121
390  0.401235 -0.004605  0.105808  0.069199  5.298374  0.005064  0.007452 -0.000000 21.588259
396  0.407407 -0.004949  0.106519  0.070566  5.174522  0.005114  0.007517  0.000000 21.400908
402  0.413580 -0.005303  0.107270  0.071902  5.009157  0.005209  0.007615  0.000000 21.213811
408  0.419753 -0.005664  0.108053  0.073214  4.808607  0.005349  0.007745 -0.000000 21.027163
414  0.425926 -0.006034  0.108880  0.074498  4.593717  0.005518  0.007896  0.000000 20.844081
420  0.432099 -0.006411  0.109749  0.075754  4.374297  0.005709  0.008062 -0.000000 20.662931
426  0.438272 -0.006796  0.110649  0.076990  4.155023  0.005918  0.008241  0.000000 20.480520
432  0.444444 -0.007188  0.111584  0.078204  3.944289  0.006136  0.008426  0.000000 20.296638
438  0.450617 -0.007586  0.112553  0.079398  3.745618  0.006358  0.008613 -0.000000 20.110401
444  0.456790 -0.007991  0.113548  0.080570  3.558976  0.006581  0.008801 -0.000000 19.919761
450  0.462963 -0.008403  0.114583  0.081724  3.388576  0.006797  0.008983  0.000000 19.727366
456  0.469136 -0.008820  0.115653  0.082859  3.232753  0.007007  0.009161  0.000000 19.532291
462  0.475309 -0.009242  0.116753  0.083972  3.090055  0.007209  0.009332 -0.000000 19.333847
468  0.481481 -0.009670  0.117876  0.085073  2.958701  0.007404  0.009498 -0.000000 19.130820
474  0.487654 -0.010103  0.119028  0.086154  2.839131  0.007590  0.009657 -0.000000 18.925176
480  0.493827 -0.010541  0.120203  0.087223  2.729606  0.007766  0.009809  0.000000 18.716041
486  0.500000 -0.010983  0.121410  0.088275  2.630462  0.007930  0.009952 -0.000000 18.506115
492  0.506173 -0.011430  0.122644  0.089314  2.540340  0.008083  0.010087 -0.000000 18.295314
498  0.512346 -0.011881  0.123897  0.090336  2.457748  0.008226  0.010215  0.000000 18.082765
504  0.518519 -0.012335  0.125170  0.091348  2.382094  0.008359  0.010335 -0.000000 17.869235
510  0.524691 -0.012793  0.126468  0.092345  2.313492  0.008480  0.010446 -0.000000 17.657445
516  0.530864 -0.013255  0.127786  0.093329  2.250777  0.008591  0.010550 -0.000000 17.446704
522  0.537037 -0.013719  0.129127  0.094301  2.193707  0.008691  0.010646  0.000000 17.238649
528  0.543210 -0.014187  0.130483  0.095262  2.141343  0.008782  0.010735 -0.000000 17.032575
534  0.549383 -0.014658  0.131858  0.096210  2.093572  0.008862  0.010817  0.000000 16.830202
540  0.555556 -0.015131  0.133251  0.097150  2.049977  0.008934  0.010892 -0.000000 16.632127
546  0.561728 -0.015607  0.134659  0.098076  2.009972  0.008998  0.010960 -0.000000 16.438071
