nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV   wmin/eV      Tc/K
269  0.276749 -0.000221  0.096785  0.039904  3.514494  0.006543  0.009143 -0.000000 19.871796
270  0.277778 -0.000236  0.096925  0.040333  3.529899  0.006526  0.009123  0.000000 19.892363
271  0.278807 -0.000252  0.097034  0.040898  3.620876  0.006298  0.009007 -0.000000 19.722619
272  0.279835 -0.000268  0.097141  0.041475  3.971970  0.005325  0.008600 -0.000000 18.580307
273  0.280864 -0.000286  0.096553  0.042208  3.342044  0.006861  0.009360 -0.000000 19.879531
274  0.281893 -0.000299  0.096758  0.042247  3.673785  0.006136  0.008935  0.000000 19.540559
275  0.282922 -0.000317  0.096855  0.042770  3.591425  0.006353  0.009036 -0.000000 19.732141
276  0.283951 -0.000336  0.096953  0.043097  3.590970  0.006359  0.009035 -0.000000 19.743361
277  0.284979 -0.000354  0.097046  0.043429  3.647916  0.006230  0.008964 -0.000000 19.659471
278  0.286008 -0.000373  0.097127  0.043780  3.755017  0.005983  0.008835 -0.000000 19.468949
279  0.287037 -0.000393  0.097202  0.044281  3.967285  0.005507  0.008595 -0.000000 19.031805
280  0.288066 -0.000412  0.097257  0.044676  4.603425  0.004261  0.007979  0.000000 17.464440
281  0.289095 -0.000432  0.097287  0.045056  4.433483  0.004369  0.008119 -0.000899 17.289266
282  0.290123 -0.000453  0.097307  0.045570  4.882327  0.003406  0.007730 -0.001805 15.188433
283  0.291152 -0.000476  0.096887  0.046098  3.435871  0.006625  0.009217  0.000000 19.734914
284  0.292181 -0.000498  0.097009  0.046473  3.466373  0.006557  0.009175 -0.000000 19.704205
285  0.293210 -0.000520  0.097120  0.046822  3.518864  0.006436  0.009106 -0.000000 19.636977
286  0.294239 -0.000543  0.096947  0.047283  3.428709  0.006626  0.009220 -0.000000 19.706991
287  0.295267 -0.000565  0.096592  0.047418  3.522113  0.006249  0.009084 -0.001626 19.218953
288  0.296296 -0.000589  0.096645  0.047753  3.565372  0.006228  0.009037 -0.000000 19.337323
289  0.297325 -0.000613  0.096738  0.048019  3.433614  0.006569  0.009206 -0.000000 19.596424
290  0.298354 -0.000638  0.096841  0.048291  3.399253  0.006656  0.009250 -0.000000 19.652499
291  0.299383 -0.000663  0.096951  0.048625  3.393812  0.006672  0.009256 -0.000000 19.663400
292  0.300412 -0.000689  0.097067  0.049010  3.405622  0.006647  0.009239  0.000000 19.654912
293  0.301440 -0.000715  0.097177  0.049379  3.431173  0.006592  0.009203 -0.000000 19.633898
294  0.302469 -0.000741  0.097279  0.049767  3.466703  0.006515  0.009155 -0.000000 19.601045
295  0.303498 -0.000767  0.097374  0.050088  3.516330  0.006407  0.009090  0.000000 19.551730
296  0.304527 -0.000794  0.097442  0.050800  3.565690  0.006265  0.009018 -0.001499 19.412155
297  0.305556 -0.000820  0.097528  0.052326  3.559702  0.006230  0.009006 -0.001456 19.297655
298  0.306584 -0.000848  0.097603  0.052402  3.620452  0.006104  0.008930 -0.001355 19.233268
299  0.307613 -0.000876  0.097688  0.052820  3.727257  0.005889  0.008802 -0.001269 19.109267
300  0.308642 -0.000904  0.097739  0.052916  3.835663  0.005671  0.008677 -0.001114 18.960045
301  0.309671 -0.000933  0.097791  0.053001  4.861301  0.003894  0.007718 -0.000895 16.958017
302  0.310700 -0.000963  0.097908  0.054719  4.100138  0.005223  0.008393 -0.002026 18.695285
303  0.311728 -0.000993  0.097935  0.054772  4.444868  0.004605  0.008062 -0.002017 18.035493
304  0.312757 -0.001023  0.097961  0.054823  5.284221  0.003333  0.007394 -0.001977 15.995418
305  0.313786 -0.001053  0.097957  0.054886  4.728242  0.004138  0.007812 -0.002012 17.402578
306  0.314815 -0.001084  0.097934  0.054840  6.362935  0.002439  0.006735 -0.002017 14.466848
307  0.315844 -0.001115  0.097920  0.054852  4.790604  0.003970  0.007753 -0.001986 17.010248
308  0.316872 -0.001158  0.096781  0.054083  4.264318  0.003916  0.008209 -0.001574 15.222709
309  0.317901 -0.001185  0.097260  0.053897  3.568714  0.006154  0.008981 -0.001849 19.151302
310  0.318930 -0.001218  0.097324  0.054027  3.618354  0.006034  0.008919 -0.001841 19.053759
311  0.319959 -0.001256  0.097107  0.052941  3.447629  0.006410  0.009144 -0.000000 19.277868
312  0.320988 -0.001290  0.097178  0.053118  3.476562  0.006323  0.009104 -0.000000 19.191922
313  0.322016 -0.001325  0.097236  0.053270  3.539161  0.006143  0.009022 -0.000000 19.018340
314  0.323045 -0.001359  0.096957  0.052720  3.427350  0.006363  0.009156 -0.002629 19.087193
315  0.324074 -0.001395  0.096908  0.052737  3.558334  0.006070  0.008995 -0.000000 18.919438
316  0.325103 -0.001431  0.096650  0.052512  3.493167  0.006313  0.009078 -0.000000 19.230616
317  0.326132 -0.001467  0.096412  0.052117  3.667193  0.005875  0.008854 -0.001427 18.851709
318  0.327160 -0.001504  0.096455  0.052407  3.950848  0.005209  0.008538 -0.000000 18.154853
319  0.328189 -0.001542  0.096503  0.052663  3.786562  0.005573  0.008718  0.000000 18.536001
320  0.329218 -0.001580  0.096437  0.052758  3.549200  0.006171  0.008992 -0.002329 19.109993
321  0.330247 -0.001619  0.096391  0.052963  3.952170  0.005165  0.008531 -0.000000 18.037729
322  0.331276 -0.001659  0.096283  0.053135  3.637819  0.006130  0.008891 -0.000000 19.343232
323  0.332305 -0.001699  0.096357  0.053480  3.537477  0.006311  0.009011  0.000000 19.385239
324  0.333333 -0.001739  0.096437  0.053821  3.453065  0.006467  0.009115 -0.000000 19.412225
325  0.334362 -0.001779  0.096523  0.054159  3.384313  0.006595  0.009202  0.000000 19.423810
326  0.335391 -0.001820  0.096610  0.054493  3.326608  0.006702  0.009276  0.000000 19.424931
327  0.336420 -0.001861  0.096702  0.054825  3.276697  0.006794  0.009341 -0.000000 19.417909
328  0.337449 -0.001902  0.096801  0.055148  3.235134  0.006870  0.009396  0.000000 19.405914
329  0.338477 -0.001944  0.096904  0.055473  3.199554  0.006933  0.009443 -0.000000 19.388294
330  0.339506 -0.001985  0.097006  0.055787  3.170549  0.006984  0.009482  0.000000 19.369311
331  0.340535 -0.002028  0.097118  0.056099  3.145757  0.007024  0.009514 -0.000000 19.347149
332  0.341564 -0.002070  0.097231  0.056408  3.124866  0.007057  0.009542 -0.000000 19.323358
333  0.342593 -0.002113  0.097348  0.056711  3.108084  0.007081  0.009563 -0.000000 19.299024
334  0.343621 -0.002156  0.097466  0.057012  3.093745  0.007100  0.009581  0.000000 19.273695
335  0.344650 -0.002200  0.097589  0.057310  3.082434  0.007112  0.009594 -0.000000 19.248271
336  0.345679 -0.002243  0.097713  0.057603  3.074322  0.007118  0.009603 -0.000000 19.223445
337  0.346708 -0.002287  0.097843  0.057893  3.068267  0.007120  0.009609 -0.000000 19.198669
338  0.347737 -0.002332  0.097976  0.058178  3.065218  0.007116  0.009610 -0.000000 19.174968
339  0.348765 -0.002376  0.098108  0.058462  3.063177  0.007109  0.009610  0.000000 19.151092
340  0.349794 -0.002421  0.098245  0.058741  3.063690  0.007098  0.009606 -0.000000 19.128486
341  0.350823 -0.002466  0.098384  0.059016  3.066570  0.007082  0.009598 -0.000000 19.107069
342  0.351852 -0.002511  0.098526  0.059288  3.071329  0.007062  0.009588 -0.000000 19.086447
348  0.358025 -0.002789  0.099414  0.060861  3.136353  0.006879  0.009473 -0.000000 18.979312
354  0.364198 -0.003075  0.100350  0.062339  3.268223  0.006581  0.009270 -0.000000 18.886512
360  0.370370 -0.003366  0.100209  0.064413  3.621608  0.005856  0.008789 -0.000000 18.577814
366  0.376543 -0.003676  0.100872  0.066050  6.256927  0.001742  0.006673  0.000000 10.101170
372  0.382716 -0.003997  0.101474  0.067785  4.555056  0.003587  0.007802  0.000000 14.897360
378  0.388889 -0.004350  0.100539  0.069252  4.437198  0.003745  0.007864 -0.000718 15.113745
384  0.395062 -0.004638  0.101642  0.072378  3.209973  0.006045  0.009128 -0.000969 17.358716
390  0.401235 -0.004944  0.100985  0.074190  3.710564  0.004662  0.008423 -0.002010 15.663626
396  0.407407 -0.005318  0.102020  0.075847  3.570743  0.004530  0.008541 -0.001220 14.783609
402  0.413580 -0.005698  0.102988  0.077084  4.879114  0.002361  0.007288 -0.001975 10.604664
408  0.419753 -0.006083  0.103285  0.078362  3.925974  0.003581  0.008091 -0.001127 12.947383
414  0.425926 -0.006492  0.102747  0.079068  4.277165  0.003433  0.007728 -0.000000 13.466289
420  0.432099 -0.006807  0.105826  0.080446  4.619249  0.002876  0.007441 -0.001814 12.242008
426  0.438272 -0.007186  0.106980  0.081689  2.921559  0.006533  0.009343 -0.000000 17.133867
432  0.444444 -0.007593  0.107531  0.082693  2.951999  0.006369  0.009279  0.000000 16.913240
438  0.450617 -0.007999  0.108804  0.083712  2.954540  0.006289  0.009267  0.000000 16.749478
444  0.456790 -0.008369  0.109906  0.085272  2.884749  0.006467  0.009341  0.000000 16.809991
450  0.462963 -0.008803  0.110742  0.086384  3.077369  0.005964  0.009022  0.000000 16.526537
