nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV      Tc/K
321  0.330247 -0.001402  0.100449  0.050710  5.964382  0.004377  0.007167 31.957241
322  0.331276 -0.001437  0.100491  0.051029  5.881533  0.004480  0.007217 32.003501
323  0.332305 -0.001472  0.100535  0.051349  5.811497  0.004570  0.007260 32.043193
324  0.333333 -0.001508  0.100578  0.051663  5.747466  0.004654  0.007300 32.078245
325  0.334362 -0.001544  0.100624  0.051978  5.692449  0.004728  0.007335 32.108749
326  0.335391 -0.001580  0.100672  0.052288  5.644554  0.004796  0.007366 32.137084
327  0.336420 -0.001617  0.100717  0.052595  5.599170  0.004860  0.007395 32.161296
328  0.337449 -0.001655  0.100767  0.052899  5.561008  0.004916  0.007420 32.183560
329  0.338477 -0.001692  0.100816  0.053203  5.526499  0.004967  0.007442 32.203158
330  0.339506 -0.001730  0.100866  0.053505  5.495239  0.005014  0.007462 32.220316
331  0.340535 -0.001768  0.100917  0.053807  5.467349  0.005057  0.007481 32.235629
332  0.341564 -0.001807  0.100969  0.054109  5.442246  0.005096  0.007497 32.249079
333  0.342593 -0.001846  0.101023  0.054404  5.420837  0.005131  0.007511 32.261531
334  0.343621 -0.001885  0.101077  0.054703  5.401494  0.005162  0.007523 32.272188
335  0.344650 -0.001925  0.101132  0.054997  5.384345  0.005191  0.007534 32.281225
336  0.345679 -0.001965  0.101187  0.055291  5.368468  0.005217  0.007544 32.288867
337  0.346708 -0.002006  0.101245  0.055579  5.356023  0.005239  0.007552 32.296116
338  0.347737 -0.002047  0.101298  0.055874  5.341795  0.005261  0.007560 32.299514
342  0.351852 -0.002213  0.101547  0.057010  5.314469  0.005316  0.007574 32.314622
348  0.358025 -0.002473  0.101942  0.058685  5.302796  0.005348  0.007572 32.306556
354  0.364198 -0.002745  0.102375  0.060306  5.318392  0.005331  0.007549 32.270145
360  0.370370 -0.003029  0.102847  0.061884  5.348890  0.005282  0.007513 32.207020
366  0.376543 -0.003324  0.103359  0.063418  5.382520  0.005216  0.007474 32.117026
